id,text,label_text
630,"Look, Bernie has a right to his beliefs, and he has a right to vote according to hose beliefs. And he happens to believe that religious fundamentalists have no place in govt.

If the roles were reversed, and Vought was interviewing Sanders, and Sanders said he was a Jew who did NOT accept Jesus as his saviour, but he DID believe in free, government paid contraception and unlimited abortion on demand, Vought would almost CERTAINLY vote no. And he would be cheered and applauded by those very people who are now castigating Sanders.

Frankly, I am sick of the hypocrisy and the pollyannish political posturing. I am sick of the crocodile tears. Welcome to the new ""War on Christmas.""",toxic
631,mention the time in canada now,datetime
632,lower the volume of the speakers,audio_volume_down
633,change volume settings in the negative,audio
634,rise volume,audio_volume_up
635,"""In terms of historical contexts, you're comparing apples with oranges. Jesus would have almost certainly taken those considerations into account. Or at least, I believe he would have.""

Yes, of course he could have taken into account historical context.  But he didn't.  He gave a single reason for his commandment not to divorce, and it excluded historical context.  

Seems like people just don't like what Jesus said, so they try to change it.",not toxic
636,what is the leadtime for a new card to show up in the mail?,card_delivery_estimate
637,An item I bought had the wrong exchange rate applied.,card_payment_wrong_exchange_rate
638,Do you also have this extra fee on your statement?,extra_charge_on_statement
639,"Mostly teachers are also angry. In fact, I haven't met one that is not.  I am a PPS teacher.",not toxic
640,Is there a limit to auto top?,automatic_top_up
641,This card is accepted by what businesses?,card_acceptance
642,let's have a warm glow in the front room,iot_hue_lightchange
643,"For anyone to say, that Hawai'i would not be a viable target of North Korea, than that person has no true understanding, of the North Korean President's state of Mind.

He is too unpredictable.  He is constantly pushing physical boundary lines and mental fortitudes.  Political strategies, are constantly being rewritten.  The USA, can not take on a 3rd war.  We are still stuck in Iraq & Afghanistan.

A nuclear missile, could devastate the Hawaiian islands, and destroy the value of Pearl Harbor in the Pacific Ocean.",not toxic
644,open the site bbcnews dot com,news_query
645,Need to report a change of address.,edit_personal_details
646,"You've got an exaggerated sense of your self worth Maracas. Here's a quote that sums up a more peaceful approach to life:

""We need another and a wiser and perhaps a more mystical concept of animals. Remote from universal nature and living by complicated artifice, man in civilization surveys the creature through the glass of his knowledge and sees thereby a feather magnified and the whole image in distortion. We patronize them for their incompleteness, for their tragic fate of having taken form so far below ourselves. And therein we err, and greatly err. For the animal shall not be measured by man. In a world older and more complete than ours they move finished and complete, gifted with extensions of the senses we have lost or never attained, living by voices we shall never hear. They are not brethren, they are not underlings; they are other nations, caught with ourselves in the net of life and time, fellow prisoners of the splendor and travail of the earth.""

 - Henry Beston",not toxic
647,I purchased something abroad but the exchange rate is incorrect.,card_payment_wrong_exchange_rate
648,"No one was stopping her from having an opinion.  But perhaps it was how she expressed her opinion that drove her friends away.  Maybe her friends didn't realize what type of person she was until she made it clear.   Or maybe she was an a___ and was using this as the reason why people avoided her.  Who can tell from a single quote?

However, if a lot of you (right, left, whatever) spoke to the people around you face-to-face the way you comment here, you'd be pretty lonely.",not toxic
649,"More likely silicon valley reverts back to orange groves (rather than becoming a lettuce farm), which is what it was prior to silicon valley.  As well, oranges have lower water requirements than lettuce (61 gallons per lb, vs 98 gallons per lb, apparently), which will be necessary to withstand the continuing California drought.",not toxic
650,which song is this,music_query
651,confirm the alarm time,alarm
652,how many degrees is it in houston right now,weather_query
653,Can I do a SWIFT transfer?,top_up_by_bank_transfer_charge
654,will the weather today be cloudy,weather_query
655,i want some curry to go any recommendations olly,takeaway
656,What is the function of the identity check,why_verify_identity
657,"It is better to look at the positive requirements to engage in freetrade rather than things like ""authoritarian government""as a barrier. For us to engage in free trade the partner should: have a strong a reliable system that embraces the rule of law in place, similar labour and human rights, similar environmental standards and enforcement and similar sector by sector wages in key areas of the economy. These are minimum requirements. And I would trust anybody who starts off suggesting hurry, hurry get on on a deal before it is too late, suggesting Trump is coming, Trump is coming entry our embrace. And I would not trade everything else away just so China will buy lots of oil.",not toxic
658,My PIN tries have run out. Now what?,pin_blocked
659,"Actually two instances mentioned in this article, beyond that just an wry observation and not some judgement or conclusion. Although if you follow the news it would appear that if you attempt to flee you are putting yourself at risk of being shot.",not toxic
660,Economics 101 teaches us that as the price rises the demand falls and visa versa.  Pretty simple stuff.  If a company were selling just about anything and had excess supply and all forecasts are that that excess supply will continue to exist into the foreseeable future the obvious answer is to REDUCE prices in order to increase demand.  So why have the shockingly incompetent Liberals continued to increase the prices (i.e. decrease the demand) while they have excess supply?,not toxic
661,stop,audio_volume_mute
662,"Trudeau had no interest in saving two Canadians from terrorists in the Philippines yet is willing to give our own terrorist an apology and $10.5 million, it just goes to show you that the Trudeau Liberals find some Canadians with more important than others.",not toxic
663,Where do you get those exchange rates?,exchange_rate
664,what is the current song called,music
665,"""You want to screw over retirees who held up their end of the bargain by working all those years to qualify for retirement."" 

No,  just the Tier 1&2  .gov hogs screwing the state over with the CEO retirement plans.  AK.gov pensions were nothing but a huge vote buying /money making racket to squander oil wealth. It's sad the citizenry wasn't paying attention to what was going on around them...until now.  

""Good thing it is protected by the state constitution from people like you.""  
Hah!  Good one. That ""constitutionally protected"" joke just never gets old.
https://mises.org/blog/government-pension-plans-are-headed-disaster

We need some data on what AK's ""lucky few"" are hauling in...let folks see what their PFD (tax?) supporting.  
Cali already heading off the cliff and here's a yuuuuuge reason: 
http://transparentcalifornia.com/pensions/all/?&s=-pension

Worry not.  Help for the old folks is on the way:
https://youtu.be/aTjQO163P2E",not toxic
666,light green,iot_hue_lightchange
667,do i have any alarms set for today,alarm
668,any recent news about north korea,news
669,"""LAWS are fluid, man-made and can be changed. They are not chiseled in stone and mounted in the public square""--The same applies to executive orders.",not toxic
670,"""Writing about President Barack Obama’s legacy is not complete without mentioning the increased number of drone deaths of civilians under his watch.""

Yes. Every president has created and engaged in his own war(s). Obama has been no different. The drone wars, the war against ISIS, the War on Libya, dabbling in the war on Syria, and some covert wars in North African nations such as Somalia.

It was clear from the start of Obama's presidency that unless his large base of hopeful supporters remained mobilized and engaged in demanding change, Obama would be unable to make more than perfunctory change.",not toxic
671,please play me the michael jackson song again,play
672,please increase volume,audio_volume_up
673,olly remove my wake up alarm,alarm
674,turn on the wemo plug socket to connect my charger to it,iot_wemo_on
675,Can I exchange currency to Europe?,fiat_currency_support
676,When I was drunk I got my card stuck in your machine because i mis-typed my PIN. What do I need to do to get it restored?,pin_blocked
677,i want some coffee,iot_coffee
678,"You make a very good point, but kind of miss the boat.  The stance AST is taking right now with Girdwood is the exact same stance they took in the early 1990s with the Hillside, that it's not their responsibility to provide general policing services to an incorporated municipality with police powers.  They're doing this knowing full well that the MOA is doing its part to comply with state law in taking the stance they're taking.  Like with the early 1990s, it's a scare tactic to get voters to accept areawide police powers or a rough equivalent.  John Wood tried to push through areawide police powers on his way out the door of the Assembly.  It was pointed out to him that this meant APD would provide police services to Lake George and Portage Glacier, if need be.  Think about the expense involved in THAT.",not toxic
679,"A noble fix, but at the end of the meal you're still left with either a dogless bun or a bunless dog, which I find aesthetically discordant. This is the greatest imbalance of foodstuffs since that kid brought Jesus the five barley loaves and two fish!

I think we need a papal commission to sort it all out.",not toxic
680,send me all the info for the houston texans draft please,news_query
681,"Do you have some sort of alternate facts that you rely on? He was 15, he was a child.",not toxic
682,Someone stole my card!,lost_or_stolen_card
683,Wanna bet?,not toxic
684,Burning the US flag has been protected under their Constitution for over 25 years.  A minimally-informed American political figure would know that.,not toxic
685,check if i need umbrella now,weather
686,Co-signed: Naomi Davidson - Washington State. Not Alaskan.,not toxic
687,Just one more article promoting white guilt in order to justify the dispossession of whites by the entry of millions of immigrants into Canada and into European countries.,not toxic
688,"""Nail on the head"" as usual, Zapiro. Happy birthday.",not toxic
689,play hip hop playlist,play_music
690,"And you know all this, how?",not toxic
691,tell me the date and the time,datetime
692,What foreign exchange rate will I get?,exchange_rate
693,what day does my birthday fall on this year,datetime_query
694,Well one of their supporters just killed five police officers who where ironically protecting a BLM rally in Dallas.,not toxic
695,Stop being a leftist dictator and maybe people wouldn't throw things at you.,not toxic
696,How long is delivery to the US?,card_delivery_estimate
697,"According to the FBI, the nation’s homicide rate showed a steady rate of decline from 1995 through 2014, from aprox. 8 per 100,000 people to aprox. 4.5 per 100,000 people. Homicides in Chicago have been roughly 60% under Obama as what they were under the Reagan administration.",not toxic
698,volume up,audio
699,If you were familiar with the process you might draw different conclusions.,not toxic
700,can you please turn off the wemo plug socket,iot_wemo_off
701,can you mute when i am not home,audio_volume_mute
702,"It would be interesting to know if there is a ""red line"" and if there is, exactly what it is.

This morning NK said that the last launch over Japan was preparation for an attack on Guam.

Violating Japan's air space and international law is something NK can get away with, but maybe Guam would be a missile launch too far.

The NK provocations are providing cover for both Iran and Pakistan to expand their WMD and ICBM programs as well while they cooperate with NK to advance their weapons' systems.

Your ""funny"" reaction to the world lurching toward war is odd, but it is not unusual among DP readers and staff, the vast majority of which do not care if the US is destroyed or not.  Indeed, domestically, they are doing their best to destroy America with politically-correct nonsense.

BTW.  For the 12th time, have come to a conclusion about GMD defense?

One theory about why Patriot and Aegis missiles were not deployed against the NK missile that flew over Japan is that they don't work.",not toxic
703,When is the Satan interview being broadcast? Milton's piece on the Father of Lies was a great read.,not toxic
704,is it sunny outside,weather
705,No it doesn't.,not toxic
706,"If I remember right Longs Drugs ,SBS and Gary Kings kept money in the state, the others send the profits out immediately and this money was replaced by oil money and Federal money so now that money is gone and we have a deficit budget and are looking at an income tax or sales tax to pay the state's debt. When you think of the dollars the slipped through Alaska's hands and out of state and still are isn't it embarrassing to have been part of the squandering.
Billions of barrels of oil, tons of gold, millions of pounds of fish, forests of trees,
Anchorage turned into a junk selling welfare city and we need to support this with an income tax and let the profiting companies off the hook, God what stupid people we are.",toxic
707,I went to top up my card and it was cancelled.,top_up_reverted
708,what is ten am in eastern time,datetime
709,i want to listen to classic rock,play
710,order pizza from domino's,takeaway_order
711,do you have any updates on blank,news_query
712,Can I have multiple currencies in my account?,fiat_currency_support
713,"Yes, a Palin appointment would be in order.... Shake Washington up...!! It was getting a little too cozy and entrenched.....",not toxic
714,Are you ripping people off with the exchange rate?  It can't be that atrocious between banks.,card_payment_wrong_exchange_rate
715,"I've just made a money transfer to the wrong account, I need to stop the money from being moved as it may be going to someone I don't know.  Please can you help?",cancel_transfer
716,"Stop listening to liberal news media, you have no idea how many people of color and women do support the man.  How dark do I need to be, I'd like to know how you measure your judgements about people you've never met.  I swear the media posts a story and out the gate it goes as gospel, too few look beyond their favorite news media to see if something is true or not.",not toxic
717,remember i've ordered a cake for tonight's birthday party let me know the status please,takeaway
718,"Judge: So, Ms. Turnipseed, what do you want for your new surname?
Ashley: Twentybac, your honor!",not toxic
719,could you please search my new news provider for the latest news,news
720,what is the entrapreneur saying about homelessness in the seattle times article,news
721,who covered the song one more cup of coffee,music_query
722,Am I able to modify my account details?,edit_personal_details
723,what are the lyrics to this song,music_query
724,"Health care is not ""irony.""  The ACA allowed for the creation of programs, but wasn't a program, in and of itself.  The original ACA was going to lower costs, until republicans stripped it of the ability to control price increases in one of their 100+ amendments to a law that was ""rammed down our throats.""

You are just too easy.",not toxic
725,"Hell hath indeed frozen over.  First you agree with me.  Now I agree with you.  What's the world coming to?  Sanity, I hope...",not toxic
726,"first you lying scum spew the sky is falling on carbon, but thats not getting you anywhere really since temps are stable and people are waking up to the scam so now its move on to something next to screw us on",toxic
727,What to do if my physical card is not working?,card_not_working
728,what is the weather right now outside,weather_query
729,Are you the Oregon Beinhauer or the Nevada lawyer Beinhauer?  or both?,not toxic
730,play new pop music,play
731,auto-top up option can be found where?,automatic_top_up
732,Driveway should be included as long as they are on their own property!,not toxic
733,robot vacuum cleaner on,iot_cleaning
734,"Hae there, I have a transaction that is in progress despite the fact that the ATM was not working, what do I do to avoid being charged?",pending_cash_withdrawal
735,I tried taking out 30 pounds from the ATM just now and it only gave me 10. Why would it do that? I need the 30 pounds now!,wrong_amount_of_cash_received
736,Why has my card been charged an extra pound?,extra_charge_on_statement
737,"Oh, now you're lecturing me on what an opinion is?  Everything I say is my opinion!  I agree that sometimes I have opinions that defy reason, but they are my opinions and I am entitled to them.  So criticize my opinions, but don't tell me I was stating facts and therefore need to provide you and any other yahoo who asks me for proof.",not toxic
738,"Last year I took redundancy as the director of a small finance business, and was really taking some time to consider what my next move was.  Over winter the market was slow, and although I had interviews and coffee-meets lined up, I was crawling the walls with boredom and although I wasn't willing to jump into the first offer that came in, I had had enough of being at home.

An old friend who manages a pub was desperate for staff so I responded to her Facebook post, and we agreed that I would pour pints for her two days a week.

I can identify with a lot of the author's sentiments, but this is in London (UK), so there was also the added dimension of the shameful British class system.  Management were paid well below a living wage, and had to work 50-60 hours to pay the rent.  Customers spoke to the staff as if they were trash, and the concept of tipping was treated as if it were vulgar.

I'm back at work in my industry now, but with a broader appreciation of how to be a good customer.",not toxic
739,"Hello, I'm a brand new customer and tried topping up for the first time today. It has been pending for half an hour and doesn't seem to be working. Please resolve this.",pending_top_up
740,what time is it in miami florida,datetime
741,"After my checque or cash deposit, my balance didn't update.",balance_not_updated_after_cheque_or_cash_deposit
742,remove seven am alarm,alarm
743,I asked for cash but I did not receive all the funds,wrong_amount_of_cash_received
744,So sad to see the level of delusion that some folks cling to,not toxic
745,can i dry my clothes on the line,weather
746,"A big ""if'"" in the beginning of your statement yet you come to a decisive conclusion as if your ""if"" was reality.    Look up ""Strawman"".",not toxic
747,What do you do with all the identity information you're collecting from me?,why_verify_identity
748,confirm i have set an alarm for six am,alarm
749,How can I add money automatically?,automatic_top_up
750,Alongside most famous men is a woman willing to tolerate him.,not toxic
751,My identity verification isn't working,unable_to_verify_identity
752,"Jr. can't be taught anything, he's a legend in his own mind.",not toxic
753,lower speaker volume,audio
754,I was charged a hidden fee when I paid with card.,card_payment_fee_charged
755,no lights,iot
756,What is the maximum for top-ups?,top_up_limits
757,can you tell how many hours of difference are between boston and los angeles,datetime
758,How are foreign exchange rates determined?,exchange_rate
759,increase light intensity,iot_hue_lightup
760,"""Definitely not good judgment.""

On whose part?",not toxic
761,"I didn't get a notice; not yet, anyway. I clicked the button that says ""ACTIVITY >"" up by the commenting field. The comment in question includes this line:

""This comment was rated below the civility threshold for publication.""",not toxic
762,is my wake up alarm set a six am,alarm
763,is snow in the forecast,weather_query
764,I'm not certain my top-up went through yet.,pending_top_up
765,switch up the color of the lights in the house,iot_hue_lightup
766,"Hello, I'm having trouble with my card, I don't understand what's happening, I tried using the ATM machine earlier but it wasn't working but seems like the transactions is still in progress, can you cancel it for me?",pending_cash_withdrawal
767,please play the song games by disturbed,play_music
768,is it probable that there would be rain in the forecast today,weather
769,"Why is Boss Dunleavy so hung up on sex?

I would not be surprised if his next big government, anti-freedom and anti-personal liberty- and unconstitutional- move is going to be agreeing with Ted Cruz and sponsoring  legislation that bans sex toys in Alaska, stating: ""There is no substantive-due-process right to stimulate one's genitals for non-medical purposes unrelated to procreation or outside of an interpersonal relationship.""

http://www.motherjones.com/politics/2016/04/ted-cruz-dildo-ban-sex-devices-texas",not toxic
770,What's the expected wait time to recieve my new card?,card_arrival
771,can save this music in my playlist,music
772,"""Trump vows to replace fired FBI Director James Comey with someone 'far better' ""

Unless the replacement is Dennis Rodman, he or she is bound to be shorter!",not toxic
773,make sure my shuffles are always repeat and always shuffled,music_settings
774,what is the current time in lagos nigeria,datetime_query
775,I put some money in my account the other day but now its gone? Why is this?,top_up_reverted
776,shazaam,play_music
777,"From a broader perspective, the process slows down legislation which is to the benefit of the people. I know that sounds strange, but what people seem to seek is stability and slow change.

That this issue is even being considered is beyond my comprehension due to the serious matter of finance the state is facing.

On another note the proponents of this proposed legislation can go forth with a ballot initiative if they choose. Of course they would lose, but then they can get the hearing they seek.",not toxic
778,i want coffee from the machine,iot_coffee
779,I want to revert a transaction I did,cancel_transfer
780,tell me the weather in utah,weather
781,"They are talking points. She named no facts. Can you? Just one, please try. Referencing someone's letter is not a fact. Referencing ""his record"" on civil rights is not a fact. The appropriate thing to reference is his record on following the law as written. Just 4 years ago Clinton, Obama, Biden, et al opposed gay marriage. That's a fact jack.",not toxic
782,"Never answer a question with a question.

One thing for certain, the quantity of melanocytes in the epidermis does not define a particular race.

Einstein and Obama's father, a Luo, share the same haplogroup  E1b1b1-M35.1.

The Fitzpatrick dermatological pigmentary scale ranges from between 1 to 6 , from ""white"" to ""black""; Hitler's National Socialist herrenvolk master race, the Arians ( German-Iranians)  range from 1 to 4 on the scale.

The white suprematists who believe themselves to be members of the Arian master race , likely aren't.

Back to the question...what is a "" racist monument""?",not toxic
783,play major tom by david bowie,play_music
784,please turn off all of the lights in the house,iot_hue_lightoff
785,And they will decide to dump her most certainly.,toxic
786,"Stick to the facts Hillary is not the President it's Trump so blame him.  Why doesn't Trump deport the shooter instead of the respectable hard working immigrants.  Man, when you folks are caught in a bind Hillary's name comes out all the time to distract from the real issues.  No med care, Hillary is blocking the votes.  No wall, Hillary was having coffee on the border.  No DACA, Hillary was on vacation with her family.  No tax reform, Bill was playing golf.  I'll let Bill have that one.",not toxic
787,limits on top ups,top_up_limits
788,LMAO!  Of course you do!,not toxic
789,Who charged me a fee for paying by card?,card_payment_fee_charged
790,"Health insurance premiums were growing at an un-affordable and unsustainable rate well before the ACA.   Although the ACA has added to the expense for sure, you can't say that we had affordable health care coverage before the ACA but now we don't because, even without the ACA, premiums would have likely risen to close to what they are now.    The problem is not the lack of affordable insurance.  Insurance will never be affordable so long as it's a for profit enterprise trying to pay the expenses of another for profit enterprise that sells services that are necessary but without sufficient cost controls.",not toxic
791,"Lol, you guys started with Trump and Putin absolutely rigged the election, then it was downgraded to Trump must have colluded with Russia- and that fizzled, and now the ""big impeachable scandal"" has been desperately minimized to Don JR looking into an op research claim- that btw was a scam set up by Dem group.

Talk about moving the bar.",not toxic
792,play rock playlist,play
793,tell me the today's date,datetime_query
794,I think my top up is still pending?,pending_top_up
795,play from favorites song,play_music
796,report the time in miami,datetime_query
797,"I have moved to a new house and set up a rent payment to my landlord, it was supposed to be in her account a few days ago but it hasn't arrived.  I definitely sent it to the right place, can you confirm where the money is?",transfer_not_received_by_recipient
798,How do i access the auto top-up option?,automatic_top_up
799,why is there a fee for a payment on my card?,card_payment_fee_charged
800,play metallica,play
801,My cash withdrawal shows as pending still.,pending_cash_withdrawal
802,turn on my alarm,alarm_set
803,"We have 15 positions open and we're a small time tech firm.  

The only reason we don't open more is we know we can't even fill the 15 - simply not enough skilled IT workers in Ontario yet.  There is a huge shortage of skilled IT workers here.",not toxic
804,"Clear solution.  All refugee claimants must be processed at recognized entry points.  All illegal migrants who cross elsewhere must be transported to these points and then processed.  Since the US is a safe country the vast majority will be turned over to the US.
End of story.",not toxic
805,do not play this song again,music
806,"Some day, the Valley may look like Adak does today.",not toxic
807,When will I get my new card?,card_arrival
808,"Sadly, becoming a K-12 teacher was never a choice respected by many in our country.  Start with Washington Irving's portrayal of the village schoolmaster as well as the popular saying of the early 20th century: ""Those who can do, those who can't, teach.""",not toxic
809,Pure denial by the coddled.,not toxic
810,please mute the sound,audio_volume_mute
811,I made a top up yesterday but it's still pending.,pending_top_up
812,I paid with my card and ended up being charged a fee.,card_payment_fee_charged
813,Would reinstalling the app solve the problem?,contactless_not_working
814,turn up music please,audio
815,display weather for the week,weather
816,tell me the singer of this track,music
817,make me happy,general_joke
818,Can I specify a day for my card to be delivered?,card_delivery_estimate
819,switch off wemo,iot
820,"I""m wholeheartedly against having policians on our bills, unless it is a founding politician (i.e. first prime minister John A Macdonald).

When it comes time to replace the Queen on coins and bills, we have hundreds of worthy Canadians from which to choose.... why all this narrow-minded thinking that we must have politicians on bills?",not toxic
821,I am not comfortable verifying my indentity.,why_verify_identity
822,can you order me a pizza today from dominoes,takeaway
823,"""R-factors are calculated from what Verum director of research Sean Rife and his colleagues call golden citations, which reference manuscripts that directly replicate a particular study. (The vast majority of citations—about 95%—just mention other papers.) A paper’s R-factor is the number of confirmatory golden citations divided by the sum of confirmatory and refuting golden citations. The more reproducible a study is, the closer its R-factor is to 1.""

http://physicstoday.scitation.org/do/10.1063/PT.6.2.20171004a/full/",not toxic
824,"Given that Mr. Comey and the Obama DOJ had colluded in the destruction of evidence, allowed sweetheart immunity deals,  required agents to sign unprecedented non-disclosure agreements, obstructed justice in the Clinton national security violation investigation, asnd then closed it down even though the Uranium One quid pro quo payments from the Russians to the Clintons were revealed a month earlier in the NYT, it is no wonder that young Trump did not contact a politically compromised FBI when offered  evidence of Clinton/DNC collusion with and payme by a from the Russians. 
Investigators should followed the money if they want to uncover collusion. No wonder the Clinton campaign and DNC were phished and hacked considering the number of email contacts with Russians had occured previously.",not toxic
825,I need clarity on why my card is not working.,card_not_working
826,Do you allow currency exchanges?,fiat_currency_support
827,I can't verify my ID. Why?,unable_to_verify_identity
828,could you speak louder,audio_volume_up
829,is it a yes or a no that tomorrows temperature will be hot,weather_query
830,There was a purchase on my card recently to a name that I don't recognize at all. What can be done about this? I need my money back.,card_payment_not_recognised
831,please tell me the weather for washington d. c.,weather_query
832,"The exchange rate given to me after a purchase, was incorrect",card_payment_wrong_exchange_rate
833,These bugs want to live.  Unfortunately they live in you and can cause serious health problems.  It is all around us.  Treat all open wound immediately.  Change bandage frequently.  Wishing Austin Webb a speedy and complete recovery.,not toxic
834,"And that, folks, is your compassionate comment.",not toxic
835,Can I get an account for my son?,age_limit
836,send me links to news articles about the protest,news
837,weather forecast,weather_query
838,play lady gaga starting with poker face,play_music
839,play latest country music releases,play_music
840,Will the system automatically top up itself?,automatic_top_up
841,more light please,iot
842,is the twenty third on the weekend,datetime_query
843,louder,audio_volume_up
844,Yassir,not toxic
845,hey its too hot outside what is the temperature this afternoon,weather_query
846,Where can I find the exchange rate for my transfer?,exchange_rate
847,can i order takeaway dinner from byron's,takeaway
848,I didn't get the correct amount of money from the ATM machine,wrong_amount_of_cash_received
849,be silent for thirty minutes,audio
850,during the daytime all lights has to be turned off,iot
851,I think my card is broke it's not working anymore,card_not_working
852,give me the volume settings,audio
853,"yes, because everyone is tired of hearing Trump did this and Trump did that, and Caldwell said gimme and then said gimme more.",not toxic
854,olly which was that coldplay song i listened to yesterday evening can you play it again,music
855,"That is true. And I voted for Bill and met Hillary during his stump for re-election here in 1996. But you see no similarity to the Democrat witch hunt of Trump on every platform available to them? Your previous comment about why Hillary lost was simply another tone-deaf temper tantrum that doubles down on the mistake Hillary and Democrats made before the election You cannot promise to punish success to give to failure as policy and then vilify those who you intend to punish and win elections. Hillary's history, behavior, and platform- along with the sneering of her followers- were the reasons for her stunning and well deserved defeat. Regardless of what President Trump does or does not do, did or did not do, that attitude will keep people in his corner who are educated and successful as well as those who are not educated but who work hard for what they have and who are sick and tired of being told they are beneath contempt by people who gain from creating problems, not solving them.",not toxic
856,play music from a given artist,play_music
857,How can I cancel this transaction?,cancel_transfer
858,i need some coffee made olly,iot
859,light settings,iot_hue_lightchange
860,How long should a cheque deposit take to show? My account hasn't updated and I want to make sure everything is okay.,balance_not_updated_after_cheque_or_cash_deposit
861,make this a bit louder,audio_volume_up
862,show current track in music player,music_settings
863,"How come my top-up didn't go through instantly, like it usually does?",pending_top_up
864,lights off bathroom,iot_hue_lightoff
865,order chinese from china spring wonton soup and a small beef and broccoli,takeaway
866,Why is my withdrawal wrong? I took out $100 but only received $20.,wrong_amount_of_cash_received
867,"I am trying to exchange AUD for GBP, how do I do that?",exchange_via_app
868,My transaction from earlier needs to be reversed.,cancel_transfer
869,Did you see this crazy faka on tv? Boy is pure straight up mental. Keep him in New York - more bettah for all of us here. Dis boy one primo lolo - his elevator don't go to the top floor. Stay away folks only bad news ahead with dis one.,not toxic
870,I paid with a card and there is an extra charge. Why?,card_payment_fee_charged
871,"Another thing keeping divorce down in ancient Rome was that the woman would typically be left penniless, unless she had property of her own (which was rare among the rich and unknown of among the poor). Thus, it would be in her financial interest to stay with her husband.",not toxic
872,Can I reset my PIN if it is blocked?,pin_blocked
873,How long are deliveries to the US?,card_delivery_estimate
874,"Greetings DGL46,

I thought that I was very clear about being very anti-scumbags, like THE DICK Cheney, DUMBYA Bush, Tony BLIAR, et al, who very deliberately lied to the world about non-existent WMD, then proceeded to illegally invade a non-threatening sovereign country, and mass murder over 1 Million defenceless innocents, men, women and children, in cold blood, and destroy the lives of millions more.

Is that reasonable to you?

Happy holidays!",not toxic
875,what is today date,datetime
876,"Any republican who can vote for amnesty for illegals but not to repeal Obamacare will be in for a rude awakening come the next election. Any republican who can vote for amnesty but not to fund the wall will face the same backlash.

You are not doing what the people sent you to congress to accomplish if you happen to be able to pass amnesty!",not toxic
877,"Hello, I noticed there is a payment from my card to a business that I am not familiar with. I definitely did not make this payment.",card_payment_not_recognised
878,if it is noon in virginia what time is it in california,datetime
879,"So then, what disciplinary measures will you be putting in place for your very own dep min who went out of his way to make sure that everybody blames the immigrants????",not toxic
880,how long will my cash withdrawal be pending for?,pending_cash_withdrawal
881,That's pure awesome!,not toxic
882,Where do I go to edit my personal details on my account?,edit_personal_details
883,is it raining in barcelona,weather_query
884,delivery from dominoes,takeaway_query
885,The US wants war with Russia. Yet it was the US that financed and backed Yeltsin to ensure he became President of Russia in the 90's and then Yeltsin started the giveaway of Russia. Only Putin got in the way and Yeltsin was toast. It was the US that financed and backed the overthrow of legally elected governments in Ukraine and Georgia in the so called colour revolutions. Assuming Russia did hack so what. Payback for all their meddling in Russia. But it the US that wants war and now has more armaments on the Russian border under the guise of NATO then even Russia has.,not toxic
886,Can someone help me unblock my pin?,pin_blocked
887,BYE BYE DR. TRUMPENSTEIN!,not toxic
888,olly does panda garden deliver,takeaway
889,switch off the wemo plug,iot
890,"TX & TN do NOT fund EXCLUSIVELY by sales tax.. TN raises only about 25% of its budget from sales tax.

I REPEATED why TODAY, States do not audit consumers (& I don't even know if TX etc. make buyers liable) & why the fed gov MUST audit FAIRtax (""FT""). You  ignore what I wrote.

You charged me AGAIN with not addressing your ""points"" (I did in SPADES) & that I attacked your character (I  noted that I exposed your lack of credentials which is NOT a character attack). Again you just ignore what I wrote.

You (no lawyer) KEEP CLAIMING (over time)  there MUST be identical statutory  auditing language for buyers & sellers, while I (a lawyer) KEEP EXPLAINING why that is not so - a FT TAX pro did not disagree with me. You can't see the utter insanity of your actions.

I don't see how you (no lawyer) can just KEEP IGNORING my professional explanations, opinions, experiences and KEEP REPEATING your same ignorant claims.  I am only an amateur psychologist - you need the help of a professional.",toxic
891,could you please turn on the plug,iot
892,i want to drink coffee,iot
893,tell me the today's date,datetime
894,please give me today's date,datetime
895,Where are my funds? I topped off my car but it didn't seem to complete.,pending_top_up
896,play my favorite music right now,play_music
897,remove all alarm of sunday,alarm_remove
898,Being a tourist mecca this tragedy will touch many corners of the world. Trump's handling of this will face bi-partisan scrutiny. Saddest day in Vegas history.,not toxic
899,"Junior, Herr Dictator.",not toxic
900,Is there a top up fee for transfer?,top_up_by_bank_transfer_charge
901,How to unblock my PIN?,pin_blocked
902,What is identity check?,why_verify_identity
903,order a smoked meat platter from beanos,takeaway
904,"Again, Trump doesn't have the power to unilaterally decide that.
He's President, not Emperor.",not toxic
905,send this song to my favorites,music_likeness
906,Can I pay online with my card?,card_acceptance
907,Preston Manning? The defender of Harper? He only rants against Liberal 'elites'. Meredith is a Tory 'elite'.,not toxic
908,My account balance has not updated since I deposited a cheque recently.,balance_not_updated_after_cheque_or_cash_deposit
909,And being married is unforgivable.,not toxic
910,what's a silly joke you know,general
911,It don't really matter who they hire or what credentials he brings to the job.  The rail has been a total disaster to Hawaii taxpayers and can't imagine how it's going to get better.,not toxic
912,does charley's steakhouse deliver,takeaway
913,temperature in augusta ga,weather_query
914,low the volume,audio
915,"Um, are you serious or kidding, re this, voter registrations? ""Noone[sic]  is able to keep that info out of Putin's hands once it's turned over.""",not toxic
916,Why has my withdrawal not posted?,pending_cash_withdrawal
